title,variant,price,imgUrl,link,l1,l2,l3,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
时尚男女通用弧形棒球帽（0052）,黑色棒球帽#053,10.47,https://cf.shopee.ph/file/0118003760cb6a7607b93ec8b338ea19,http://shopee.ph/product/27937937/459739532,时尚配饰,帽子和鸭舌帽,,IVCN202607160438,357928729,https://detail.1688.com/offer/945411647582.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,30,2026/7/21,459739532,,,1
【100% 原装正品】卡西欧 F-201WA-1A 数字男士手表 树脂表带 运动休闲手表,【100% 原装正品】卡西欧 F-201WA-1A 数字男士手表 树脂表带 运动休闲手表,19.9,https://cf.shopee.com.my/file/my-11134207-7r98s-lnkxmg0l0ewt61,http://shopee.com.my/product/37216574/554676827,手表,男士手表,,IVCN202607170003,51049843988,https://detail.1688.com/offer/668512893570.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i22&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,19.9,2026/7/21,554676827,,,1
【100% 原装正品】一年保修 MRW-200H-1BV 男士模拟日期星期显示黑色树脂表带原装手表,【100% 原装正品】一年保修 MRW-200H-1BV 男士模拟日期星期显示黑色树脂表带原装手表,16,https://cf.shopee.com.my/file/my-11134207-7r98v-lnl3ampo71q5f5,http://shopee.com.my/product/37216574/571627660,手表,男士手表,,IVCN202607160442,51053443747,https://detail.1688.com/offer/976587856490.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,16,2026/7/21,571627660,,,1
10件套天鹅绒弹力哥特式项链 Fashionapple,10件套天鹅绒弹力哥特式项链 Fashionapple,5.81,https://cf.shopee.ph/file/a9cc0f710307ecccc274438aef543166,http://shopee.ph/product/38958603/641733634,时尚配饰,项链,,IVCN202607170005,32042741897,https://detail.1688.com/offer/928130623989.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i16&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,8.8,2026/7/21,641733634,,,1
【100% 原装正品】卡西欧复古 A158WA-1DF 男女通用数字不锈钢表带休闲手表 A158WA 【一年保修】,【100% 原装正品】卡西欧复古 A158WA-1DF 男女通用数字不锈钢表带休闲手表 A158WA 【一年保修】,29,https://cf.shopee.com.my/file/my-11134207-820lc-mkbxjrrfdt6u7e,http://shopee.com.my/product/37216574/724235016,手表,男士手表,,IVCN202607160446,61054923408,https://detail.1688.com/offer/545425724771.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,29,2026/7/21,724235016,,,1
卡西欧 MTP-V005D / MTP-V005L 男士经典模拟表带不锈钢表带,MTP-V005D-2B5,36,https://cf.shopee.com.my/file/9365c8e93a199021c5f2afdcb8755038,http://shopee.com.my/product/22035903/757773642,手表,男士手表,,IVCN202607160450,130487015928,https://detail.1688.com/offer/723120096804.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,36,2026/7/21,757773642,,,1
新奇非洲式假发 小丑卷发 非洲马戏团奇装异服假发 迪斯科服装 万圣节,绿色的,2.54,https://cf.shopee.com.my/file/ddf4ca77c2d0d646b6b33382a81f0b7f,http://shopee.com.my/product/11320716/795104886,时尚配饰,发饰,假发和接发,IVCN202607170007,52606369550,https://detail.1688.com/offer/910268058586.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,4.45,2026/7/21,795104886,,,1
SG Comfort Click 男士皮带 | 自动扣，3.1厘米宽休闲皮带,舒适腰带-黑色,11.5,https://cf.shopee.sg/file/4921dc6e57edbbfc9d37f55b422aec6e,http://shopee.sg/product/9175583/843837510,时尚配饰,腰带,,IVCN202607170009,27641868666,https://detail.1688.com/offer/861529959242.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23cf.shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,11.5,2026/7/21,843837510,,,1
（一年保修）LRW-200H系列模拟指针女士及儿童青少年设计树脂表带原装手表,LRW-200H-4B2,19,https://cf.shopee.com.my/file/my-11134207-820lf-mghsyazys6xaa9,http://shopee.com.my/product/37216574/865575048,手表,女士手表,,IVCN202607160454,750129241,https://detail.1688.com/offer/685999797957.html?spm=a26352.b28411319/2508.0.0,19,2026/7/21,865575048,,,1
【100%原装正品】一年保修 LTP-1241D 系列模拟显示女士日期功能不锈钢休闲手表,LTP-1241D-4A,35,https://cf.shopee.com.my/file/0a195feded6fceb06eda2851a8fe8a81,http://shopee.com.my/product/37216574/875896537,手表,女士手表,,IVCN202607170011,757571448,https://detail.1688.com/offer/808512599390.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i22&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,35,2026/7/21,875896537,,,1
【100% 原装正品】一年保修 卡西欧 LTP-V001D-7B 女士经典银色表盘不锈钢表带休闲手表,【100% 原装正品】一年保修 卡西欧 LTP-V001D-7B 女士经典银色表盘不锈钢表带休闲手表,19,https://cf.shopee.com.my/file/my-11134207-820lb-mj3nkufreubld3,http://shopee.com.my/product/37216574/919888857,手表,女士手表,,IVCN202607160456,71055682338,https://detail.1688.com/offer/870708689597.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=e832d293658f4d09a70cb5f14a82acf7&sessionid=dd23ce730e388285a2e4b41ed9dae417,19,2026/7/21,919888857,,,1
1米军用徽章不锈钢球吊坠项链 Rantai Leher Askar,3.2毫米 316不锈钢,0.46,https://cf.shopee.com.my/file/f95b57e911660e6fee205f5300e80932,http://shopee.com.my/product/5423160/972600523,时尚配饰,项链,,IVCN202607160458,12780751146,https://detail.1688.com/offer/602011497360.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,0.46,2026/7/21,972600523,,,1
现货供应🎉 INVISIBOBBLE 超细发圈，单独出售（1 个）。,粉色单片眼镜（珍珠色）,0.5,https://cf.shopee.co.th/file/th-11134207-7ra0i-mcaait0zaue492,http://shopee.co.th/product/46546/1139637300,时尚配饰,发饰,发圈、丝带和发绳,IVCN202607170013,184533363031,https://detail.1688.com/offer/942988480571.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,0.5,2026/7/21,1139637300,,,1
越南南部最大格子围巾 - 背包客和旅游必备,黑白格子围巾，三条围巾组合装,13.25,https://cf.shopee.vn/file/vn-11134207-820l4-meh3tmbkcc1xd0,http://shopee.vn/product/51246023/1153735041,时尚配饰,围巾和披肩,,IVCN202607160460,375442335133,https://detail.1688.com/offer/656390328250.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,13.8,2026/7/21,1153735041,,,1
可爱铃铛脚链 LC10,可爱铃铛脚链 LC10,0.87,https://cf.shopee.vn/file/vn-11134207-7r98o-lzdut73t31cx19,http://shopee.vn/product/26165632/1206988598,时尚配饰,脚链,,IVCN202607160462,52120201715,https://detail.1688.com/offer/540301359880.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,2.3,2026/7/21,1206988598,,,1
卡西欧 LTP-V007G-9E 女士模拟经典金色表盘不锈钢表带原装手表 (LTP-V007G),卡西欧 LTP-V007G-9E 女士模拟经典金色表盘不锈钢表带原装手表 (LTP-V007G),7,https://cf.shopee.com.my/file/f75c46f28e4ca4161c4d20a6460a8d9a,http://shopee.com.my/product/37216574/1244229741,手表,女士手表,,IVCN202607160466,51055859060,https://detail.1688.com/offer/902943868389.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,7,2026/7/21,1244229741,,,1
男女通用围巾 1条装 12条,男女通用围巾 1条装 12条,7.59,https://cf.shopee.ph/file/659d1af76d8bd71688de2fa59ee2bd9e,http://shopee.ph/product/63801640/1253888323,时尚配饰,围巾和披肩,,IVCN202607160470,22840909070,https://detail.1688.com/offer/43716408387.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,19.2,2026/7/21,1253888323,,,1
婚纱头纱，婚礼头纱（白色/红色）,白色的,3.48,https://cf.shopee.com.my/file/my-11134207-820l9-mfm8u4xj083y8d,http://shopee.com.my/product/12990/1256186286,时尚配饰,发饰,头饰、皇冠和花冠,IVCN202607160472,3172252277,https://detail.1688.com/offer/913738652919.html?spm=a26352.b28411319.offerlist.10.30481e62Bmnrlt,3.5,2026/7/21,1256186286,,,1
【黑色】Xiao TS Turok Steinhardt SM005 偏光太阳镜 - Xiao STR004 时尚太阳镜,2++) TYJ01TS,8,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8xjmaj4xzt3ba,http://shopee.vn/product/6470337/1270045710,时尚配饰,眼镜,太阳镜,IVCN202607170015,33355238234,https://detail.1688.com/offer/974010088774.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,8,2026/7/21,1270045710,,,2
【黑色】Xiao TS Turok Steinhardt SM005 偏光太阳镜 - Xiao STR004 时尚太阳镜,1) TS SM005,6.5,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8xjmafj4odq85,http://shopee.vn/product/6470337/1270045710,时尚配饰,眼镜,太阳镜,IVCN202607160476,1580886772,https://detail.1688.com/offer/717783148731.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,6.5,2026/7/21,1270045710,,,1
【黑色】Xiao TS Turok Steinhardt SM005 偏光太阳镜 - Xiao STR004 时尚太阳镜,3) TS TR004,8,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8xjmao4qooe46,http://shopee.vn/product/6470337/1270045710,时尚配饰,眼镜,太阳镜,IVCN202607170015,245078696774,https://detail.1688.com/offer/974010088774.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,8,2026/7/21,1270045710,,,2
搭配泰式传统服饰的四件套首饰 ~ AI Jung 泰式童装,银质镶嵌白色宝石,2.5,https://cf.shopee.co.th/file/th-11134207-7r98z-ly1xnwpbk4hcac,http://shopee.co.th/product/14988982/1345889394,时尚配饰,配件套装及组合,,IVCN202607160480,217670231473,https://detail.1688.com/offer/775924145060.html?spm=a26352.13672862.offerlist.8.2edb1c652mMRA4&cosite=-&tracelog=p4p&_p_isad=1&clickid=c43f70c2392e4b9e8e285d6d84a822ba&sessionid=6d38fed8fd434bde47b53426f0597c81,2.5,2026/7/21,1345889394,,,1
（两年保修）卡西欧 AE-1000W (AE1000W) 系列男士树脂表带数字运动手表,黑色的,27,https://cf.shopee.com.my/file/my-11134201-7ras8-m7j2i6wohlqgb2,http://shopee.com.my/product/58358085/1411824329,手表,男士手表,,IVCN202607160484,60674869128,https://detail.1688.com/offer/709322986904.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,27,2026/7/21,1411824329,,,1
💯 黑色球头发夹，有 3 种尺寸可选。盒装/450 克/900 克。,450克,2.8,https://cf.shopee.co.th/file/th-11134207-7rasi-m9pgz725eltda1,http://shopee.co.th/product/20903704/1421297269,时尚配饰,发饰,发夹和发卡,IVCN202607160488,1994808777,https://detail.1688.com/offer/724358067645.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17604960205679000e1682&token=vDMHLAVSMeC%2FBxZTqi%2FxYHxD%2FxcmxtkT50hxFJfifXL0FiT25ykSt1gzfMu2G%2BrR,2.8,2026/7/21,1421297269,,,1
木质太阳镜 男女款 竹制太阳镜 女士款,C3,5.09,https://cf.shopee.ph/file/sg-11134201-7rfhv-m9xvdq4d919ef5,http://shopee.ph/product/84860300/1441262282,时尚配饰,眼镜,太阳镜,IVCN202607160490,2051282076,https://detail.1688.com/offer/627388039752.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,8.8,2026/7/21,1441262282,,,1
3D眼镜 玻璃镜 塑料立体蓝红电视电影眼镜 1122.1,3D眼镜 玻璃镜 塑料立体蓝红电视电影眼镜 1122.1,0.85,https://cf.shopee.com.my/file/sg-11134201-7rdye-lyot0yc2p73c31,http://shopee.com.my/product/18321026/1444797224,时尚配饰,眼镜,太阳镜,IVCN202607160494,51049546882,https://detail.1688.com/offer/609820888424.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,0.85,2026/7/21,1444797224,,,1
卡西欧 G-Shock DW6900 MS1 黑色 Evo 6900 数字手表，全功能自动背光，高品质，现货供应,自动照明,25,https://cf.shopee.com.my/file/my-11134207-820lb-mnm7p3faufid01,http://shopee.com.my/product/28985703/1468874415,手表,男士手表,,IVCN202607160496,30099068285,https://detail.1688.com/offer/635583419210.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=de13776240ffc3667e108d1654eeacb4&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC5A0FE0B7CB9921001506B3BCF598B10ED39C6D2CF59E4F128196AC762B774CC77EEF6D6099BA67CE089F770C23C101B7E9B4D07CDBFE9C2F0FBC132FBFE136BD2FB191A8EA4F5D44E18BEF864CD1AF81D87D00FB3997FB73AEB4D2638F8AD511D9FD60798435E3034590AFDB237DE94B07F5BD7BE79257CE73721CEAF17F9B888304D0F96F2333A2%26cbu_cps_trace_flag%3Dwrite,25,2026/7/21,1468874415,,,1
卡西欧 CA-53W / CA-53WF 数字计算器手表 CA-53W,CA-53WF-1B,40,https://cf.shopee.com.my/file/my-11134207-7r98u-lmyeseie85g68d,http://shopee.com.my/product/22035903/1547288493,手表,男士手表,,IVCN202607160500,147058301836,https://detail.1688.com/offer/999325875738.html?spm=a26352.b28411319/2508.0.0,40,2026/7/21,1547288493,,,1
【100% 原装正品 & 赠送表带】ME3081 男士现代机械自动镂空表盘男士手表,【100% 原装正品 & 赠送表带】ME3081 男士现代机械自动镂空表盘男士手表,61.3,https://cf.shopee.com.my/file/6e90c9252314ad8a5847e280d0cca35f,http://shopee.com.my/product/88257056/1605132738,手表,男士手表,,IVCN202607160502,31049454277,https://detail.1688.com/offer/966678838166.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i43&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,61.3,2026/7/21,1605132738,,,1
【100% 原装正品 & 赠送表带】蔻驰女士 1941 运动系列不锈钢腕表 - 14502200,【100% 原装正品 & 赠送表带】蔻驰女士 1941 运动系列不锈钢腕表 - 14502200,120.37,https://cf.shopee.com.my/file/245f6ce779b5a50ad52e419269551f5c,http://shopee.com.my/product/88257056/1605160634,手表,女士手表,,IVCN202607160506,51049441405,https://detail.1688.com/offer/911313326201.html?spm=a26352.b28411319/2508.0.0,240,2026/7/21,1605160634,,,1
【100% 原装正品 & 赠送手链】蔻驰 Delancey 玫瑰金不锈钢女士腕表 Jam Tangan Wanita- 14502355,【100% 原装正品 & 赠送手链】蔻驰 Delancey 玫瑰金不锈钢女士腕表 Jam Tangan Wanita- 14502355,18.6,https://cf.shopee.com.my/file/a1ebdb8f855b596ee08189a66910e50b,http://shopee.com.my/product/88257056/1605169007,手表,女士手表,,IVCN202607160510,31049454276,"https://detail.1688.com/offer/805708207880.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982
https://detail.1688.com/offer/951995789712.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982",18.6,2026/7/21,1605169007,,,1
单表位自动上链表盒（有两种颜色可选）。表盒，自动上链器。,黑色的,24.73,https://cf.shopee.co.th/file/4f8644bd867d8fb254334c2f773ac350,http://shopee.co.th/product/7323023/1648891859,手表,手表配件,盒子,IVCN202607160514,53754676109,https://detail.1688.com/offer/520075891103.html?spm=a26352.b28411319/2508.0.0,74.4,2026/7/21,1648891859,,,1
男士真皮皮带，全套包装，高品质皮带。,nn54 漂亮的盒子,12.5,https://cf.shopee.vn/file/vn-11134207-7r98o-lkp0pp5pzi7ea4,http://shopee.vn/product/12063050/1654677292,时尚配饰,腰带,,IVCN202607160518,14561296225,https://detail.1688.com/offer/725296347647.html?spm=a26352.b28411319.offerlist.63.781a1e62MBq7D7,12.5,2026/7/21,1654677292,,,1
卡西欧女士标准模拟银色不锈钢表带手表 LTP1169D-7A LTP-1169D-7A,卡西欧女士标准模拟银色不锈钢表带手表 LTP1169D-7A LTP-1169D-7A,11.9,https://cf.shopee.sg/file/47741e8634b5286fd1b900bb01789b9b,http://shopee.sg/product/91681600/1697150960,手表,女士手表,,IVCN202607170018,71914300875,https://detail.1688.com/offer/839066339135.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,11.9,2026/7/21,1697150960,,,1
[Time Cruze] 卡西欧 AE-1200 Royale 世界时间数字不锈钢男士腕表 AE1200WHD-1A AE-1200WHD-1A AE-1200WHD-1AV,[Time Cruze] 卡西欧 AE-1200 Royale 世界时间数字不锈钢男士腕表 AE1200WHD-1A AE-1200WHD-1A AE-1200WHD-1AV,33,https://cf.shopee.sg/file/sg-11134207-7rbl2-loozawdprbzn46,http://shopee.sg/product/111384299/1725749248,手表,男士手表,,IVCN202607170020,61913732637,https://detail.1688.com/offer/562840609974.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,33,2026/7/21,1725749248,,,1
36枚/盒 批发混款夜光不锈钢戒指 男女通用,36枚/盒 批发混款夜光不锈钢戒指 男女通用,10.56,https://cf.shopee.ph/file/ph-11134207-7rasj-m0fpvshtllrid9,http://shopee.ph/product/89663921/1731796909,时尚配饰,戒指,,IVCN202607170022,62041909797,https://detail.1688.com/offer/694858548604.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,14.4,2026/7/21,1731796909,,,1
【原装】蔻驰 Delancey 银色表盘玫瑰金女士腕表 - 14502497,【原装】蔻驰 Delancey 银色表盘玫瑰金女士腕表 - 14502497,128.8,https://cf.shopee.com.my/file/7114ae6a65139954d52c05ade54caf3a,http://shopee.com.my/product/76725162/1760639543,手表,女士手表,,IVCN202607170024,61050023517,https://detail.1688.com/offer/994715552332.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i27&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,160,2026/7/21,1760639543,,,1
925 纯银链，意大利方块链节，1.0 毫米厚，​​14-24 英寸或 35-60 厘米长。,钱币，长 18 英寸（45 厘米）。,0.45,https://cf.shopee.co.th/file/a3bfe7a98a568ba57f4cef7ac73217a7,http://shopee.co.th/product/2480043/1768787719,时尚配饰,项链,,IVCN202607160522,13499771747,https://detail.1688.com/offer/981524833960.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,0.45,2026/7/21,1768787719,,,1
12双（12双）13英寸焊接皮革手套安全工作手套 SARUNG TANGAN KIMPALAN,1打手套,80.66,https://cf.shopee.com.my/file/my-11134207-7r992-lw6y0b4ggfhmaf,http://shopee.com.my/product/43706208/1772360832,时尚配饰,手套,,IVCN202607160526,250966449753,https://detail.1688.com/offer/901142079004.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,81.6,2026/7/21,1772360832,,,1
最后三天促销！可典当 MK 手表 Bradshaw 计时码表 #一表在手,金色，小脸,14.9,https://cf.shopee.ph/file/ph-11134207-820l4-mo53l2os7x8la2,http://shopee.ph/product/120310574/1838172121,手表,套装及情侣手表,,IVCN202607160528,3613113668,https://detail.1688.com/offer/650255968265.html?spm=a26352.b28411319.offerlist.308.27941e62s5g1fq,14.9,2026/7/21,1838172121,,,1
100% 原装卡西欧 G-SHOCK GW-M5610U 系列 GW-M5610U-1ER/GW-M5610U-1BER,GW-M5610U-1BER,22,https://cf.shopee.com.my/file/my-11134207-820l6-mnfr8a0scb9k1b,http://shopee.com.my/product/6773722/1864969001,手表,男士手表,,IVCN202607170026,385834106196,https://detail.1688.com/offer/650277302449.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,22,2026/7/21,1864969001,,,1
